quarter,state,code,unemployment,frustration,calls
2019-Q2,North Carolina,NC,4.1,4.386363636363637,46.666666666666664
2019-Q2,North Dakota,ND,2.6,3.4285714285714284,3.6666666666666665
2019-Q2,Ohio,OH,4.4,4.363636363636363,49.666666666666664
2019-Q2,Oklahoma,OK,3.3,4.454545454545454,15.333333333333334
2019-Q2,Oregon,OR,3.9,4.133333333333334,16.333333333333332
2019-Q2,Pennsylvania,PA,4.5,4.148936170212766,54.333333333333336
2019-Q2,Rhode Island,RI,3.4,4.333333333333333,4.0
2019-Q2,South Carolina,SC,3.0,4.4,22.666666666666668
2019-Q2,South Dakota,SD,3.0,4.0,4.0
2019-Q2,Tennessee,TN,3.8,4.195121951219512,33.0
2019-Q2,Texas,TX,3.8,4.1138211382113825,125.33333333333333
2019-Q2,Utah,UT,2.8,4.0,13.666666666666666
2019-Q2,Vermont,VT,2.4,3.0,4.0
2019-Q2,Virginia,VA,2.8,4.333333333333333,34.666666666666664
2019-Q2,Washington,WA,4.0,4.194444444444445,35.333333333333336
2019-Q2,West Virginia,WV,5.1,5.5,8.333333333333334
2019-Q2,Wisconsin,WI,3.8,4.5,23.333333333333332
2019-Q2,Wyoming,WY,3.7,5.25,3.6666666666666665
2019-Q3,Alabama,AL,3.2,4.333333333333333,22.333333333333332
2019-Q3,Alaska,AK,5.1,6.0,2.3333333333333335
2019-Q3,Arizona,AZ,5.3,6.03030303030303,27.333333333333332
2019-Q3,Arkansas,AR,4.1,5.0,12.666666666666666
2019-Q3,California,CA,4.5,4.140243902439025,158.66666666666666
2019-Q3,Colorado,CO,2.6,4.64,23.666666666666668
2019-Q3,Connecticut,CT,3.8,5.25,12.666666666666666
2019-Q3,Delaware,DE,4.1,4.8,4.666666666666667
2019-Q3,District of Columbia,DC,5.9,6.0,2.3333333333333335
2019-Q3,Florida,FL,3.6,4.095238095238095,97.33333333333333
2019-Q3,Georgia,GA,3.9,4.317073170731708,45.0
2019-Q3,Hawaii,HI,2.6,3.6666666666666665,4.666666666666667
2019-Q3,Idaho,ID,2.7,4.0,7.333333333333333
2019-Q3,Illinois,IL,4.2,4.083333333333333,50.0
2019-Q3,Indiana,IN,3.4,4.166666666666667,28.0
2019-Q3,Iowa,IA,2.8,4.071428571428571,15.333333333333334
2019-Q3,Kansas,KS,3.9,4.583333333333333,9.666666666666666
2019-Q3,Kentucky,KY,4.7,4.277777777777778,18.0
2019-Q3,Louisiana,LA,5.3,6.1875,19.333333333333332
2019-Q3,Maine,ME,2.6,4.0,7.0
2019-Q3,Maryland,MD,3.8,4.380952380952381,22.0
2019-Q3,Massachusetts,MA,3.2,4.185185185185185,32.333333333333336
2019-Q3,Michigan,MI,5.0,4.125,46.0
2019-Q3,Minnesota,MN,3.1,4.032258064516129,23.333333333333332
2019-Q3,Mississippi,MS,6.7,6.125,10.0
2019-Q3,Missouri,MO,3.7,4.115384615384615,21.666666666666668
2019-Q3,Montana,MT,3.3,4.666666666666667,4.666666666666667
2019-Q3,Nebraska,NE,3.3,4.0,8.333333333333334
2019-Q3,Nevada,NV,4.1,5.222222222222222,13.333333333333334
2019-Q3,New Hampshire,NH,2.6,4.0,4.666666666666667
2019-Q3,New Jersey,NJ,3.8,4.057142857142857,38.0
2019-Q3,New Mexico,NM,5.8,5.888888888888889,7.666666666666667
2019-Q3,New York,NY,4.0,4.161290322580645,79.0
2019-Q3,North Carolina,NC,4.1,3.975609756097561,43.666666666666664
2019-Q3,North Dakota,ND,2.3,4.0,3.3333333333333335
2019-Q3,Ohio,OH,4.5,4.175,47.666666666666664
2019-Q3,Oklahoma,OK,3.3,4.473684210526316,15.0
2019-Q3,Oregon,OR,4.1,4.130434782608695,16.666666666666668
2019-Q3,Pennsylvania,PA,5.0,4.086956521739131,60.333333333333336
2019-Q3,Rhode Island,RI,3.9,4.875,6.333333333333333
2019-Q3,South Carolina,SC,2.8,4.7272727272727275,23.666666666666668
2019-Q3,South Dakota,SD,3.0,3.6666666666666665,4.333333333333333
2019-Q3,Tennessee,TN,3.8,4.178571428571429,34.333333333333336
2019-Q3,Texas,TX,3.8,4.195652173913044,128.66666666666666
2019-Q3,Utah,UT,2.6,3.95,16.666666666666668
2019-Q3,Vermont,VT,2.3,3.0,4.333333333333333
2019-Q3,Virginia,VA,2.8,4.171428571428572,34.333333333333336
2019-Q3,Washington,WA,4.1,4.323529411764706,33.666666666666664
2019-Q3,West Virginia,WV,4.9,4.454545454545454,8.333333333333334
2019-Q3,Wisconsin,WI,3.5,4.260869565217392,22.666666666666668
2019-Q3,Wyoming,WY,3.8,4.833333333333333,3.3333333333333335
2019-Q4,Alabama,AL,2.6,3.8636363636363638,16.666666666666668
2019-Q4,Alaska,AK,5.1,6.666666666666667,1.6666666666666667
2019-Q4,Arizona,AZ,4.6,3.953488372093023,34.666666666666664
2019-Q4,Arkansas,AR,3.3,4.333333333333333,13.333333333333334
2019-Q4,California,CA,3.9,4.1923076923076925,191.0
